FID	IID	wo	pc1	pc2	pc3	pc4
line_555	line_555	1	0.016969	0.0201199	-0.173072	0.0331321
line_859	line_859	1	-0.0548817	0.0369442	0.000383218	0.0616044
line_559	line_559	0	-0.0199598	0.0181656	-0.059742	0.0224466
line_820	line_820	1	0.0146426	0.0130454	-0.159623	0.0341775
line_502	line_502	0	0.0170972	0.00338831	0.0485649	-0.0121787
line_359	line_359	0	0.156805	-0.0203162	0.14509	-0.057955
line_138	line_138	0	-0.0323887	0.00901717	0.00797335	-0.0371084
line_528	line_528	1	0.0190222	0.00644436	0.0558496	-0.0350353
line_354	line_354	0	-0.0534568	0.0178202	0.00818082	-0.191856
line_819	line_819	1	-0.0205847	0.0415289	-0.0126403	0.149367
line_362	line_362	1	-0.039058	0.0119997	0.000476186	-0.0116656
line_375	line_375	0	-0.0286884	0.0120325	-0.00984155	-0.0245049
line_73	line_73	1	-0.0425971	0.0244034	-0.000585841	-0.00642268
line_153	line_153	1	-0.0396773	0.00316016	-0.000622159	-0.00779175
line_796	line_796	1	-0.0324518	0.026891	0.0142158	-0.0102381
line_821	line_821	1	-0.0370241	0.0280673	0.0133424	0.043808
line_355	line_355	1	-0.0544189	0.0174552	0.00805859	-0.194782
line_566	line_566	0	-0.0106058	0.0097918	-0.0816656	0.0148848
line_195	line_195	0	-0.0295124	0.0112746	-0.0123013	-0.019072
line_377	line_377	0	0.014864	0.00903888	0.0550258	-0.0484544
line_380	line_380	1	-0.0227183	0.0119269	0.00547706	-0.02182
line_31	line_31	0	-0.0108734	0.016379	0.00264134	-0.0148335
line_88	line_88	0	0.0134768	0.00436775	0.0449806	-0.0335854
line_100	line_100	1	0.0123859	-0.000613127	0.0601006	-0.0310163
line_716	line_716	1	-0.0408538	0.0141977	-0.00270541	-0.0382307
line_913	line_913	1	-0.0286405	0.0427344	0.0203677	0.129751
line_399	line_399	0	-0.0912652	-0.493931	-0.014434	0.0617391
line_235	line_235	0	-0.0365948	0.00970309	-0.000327366	-0.0381763
line_801	line_801	1	-0.00534518	0.0617748	0.0983829	0.367947
line_280	line_280	1	-0.0288836	0.02079	-0.0090533	-0.0244135
line_630	line_630	0	0.153522	-0.00494702	0.150829	0.0192877
line_850	line_850	1	-0.0592863	0.0304801	0.0105625	0.0609185
line_748	line_748	1	0.162068	0.0357557	0.193246	0.349055
line_83	line_83	0	-0.0347796	0.00941822	-0.00494572	-0.0225397
line_634	line_634	1	-0.0334083	0.0171753	-0.00415837	-0.00479314
line_365	line_365	1	-0.0385494	0.0254889	0.00501072	0.0448898
line_306	line_306	1	-0.0328478	0.0298785	-0.0104396	-0.0485218
line_318	line_318	1	-0.0283241	0.00799085	0.00565372	-0.0454955
line_208	line_208	0	-0.039861	0.0123172	-0.000950894	-0.0440808
line_158	line_158	0	-0.0341703	0.0126389	0.00137383	-0.0133416
line_551	line_551	1	-0.0166816	0.0222607	-0.0711335	0.0229821
