group	line	day	class	imageID	npoint	nn.mean	nn.sd	cc.mean	cc.sd	mean.s.area	sd.s.area	mean.s.perimeter	sd.s.perimeter	mean.s.radius.mean	sd.s.radius.mean	mean.s.radius.sd	sd.s.radius.sd	mean.s.radius.min	sd.s.radius.min	mean.s.radius.max	sd.s.radius.max	batch
group15	208	27	line	group15.day27.R32.Ral_208_3	58	9.13763842131712	2.54999585597487	0.70023968639289	0.179495918006679	45.2692307692308	46.6270624879954	23.1538461538462	13.6817964297272	3.1202029804384	1.44920987202387	0.734136474129118	0.615444096034192	1.64919048276054	0.590108837819118	4.596939914912	3.07805353137093	batch1
group15	208	27	line	group15.day27.R32.Ral_208_4	47	8.99072403147587	2.25682476998934	0.665855811746254	0.189044349784442	52.6341463414634	50.2303474493065	23.5853658536585	11.7515437491338	3.31143135636271	1.33894390575663	0.756299912372959	0.597832895536196	1.8138387355974	0.480534559330944	4.90439903874498	3.47351523012978	batch1
group15	208	27	line	group15.day27.R32.Ral_208_5	46	7.64970450433652	1.578968208881	0.634076111903685	0.22224496971072	35.3	27.255862695612	20.275	11.8407975736218	2.61849282901523	0.950970984388745	0.515299820467114	0.344735183499118	1.57855729467093	0.462764064862768	3.61540807315097	2.06570450630767	batch1
group15	208	27	line	group15.day27.R32.Ral_208_6	34	9.92066254734049	2.33824725717358	0.779174056496641	0.0995988106636821	58.4285714285714	98.5222022623547	27.9642857142857	29.9536458460552	3.51606957130436	2.36359172608747	0.814967490142238	0.530111859047415	1.53404501780268	0.445126206506539	5.62219789687893	5.48800257341418	batch1
group15	208	27	line	group15.day27.R32.Ral_208_7	36	8.88225437666831	2.1052824245114	0.758110472017947	0.105707250910423	45.8666666666667	42.4131838102204	23.1666666666667	11.4713536264466	3.18894174452554	1.16867054150351	0.808555920466452	0.492766777505407	1.50750667199619	0.310764079798805	4.43301747047717	2.31203758269651	batch1
group15	208	27	line	group15.day27.R32.Ral_208_8	59	7.74204522711297	1.25920389394517	0.692422151946866	0.18592881217116	41.6037735849057	58.9404326491656	21.7358490566038	17.821930033827	2.88815743494098	1.77302972048542	0.545945240775447	0.325225772281749	1.62516893628554	0.501479787268659	4.10391185119061	3.57345098435791	batch1
group15	208	27	line	group15.day27.R32.Ral_208_9	87	8.2086303229821	1.34840786342368	0.67752635832502	0.20792814200092	35.8271604938272	26.4030254532775	20.8765432098765	10.898833327528	2.81497510078477	1.07565092505905	0.6748047978217	0.5248180438892	1.48981570635314	0.437519758140276	3.9419161248341	2.03460130374389	batch1
group15	208	28	line	group15.day28.R32.Ral_208_1	36	7.80839952578044	1.90968433533882	0.773734206974679	0.0998338747722639	36.0333333333333	28.3615613272531	22.5	11.6048444105513	2.89454953006517	1.21880033826989	0.751440042547102	0.49997388271937	1.36545851498212	0.395326854354746	4.07250402267942	2.02638540267242	batch1
group19	208	28	line	group19.day28.R32.Ral_208_1	46	9.0690598402112	2.43786789342596	0.720622546697186	0.202352744590679	49.875	44.3767018453002	25.775	15.4297207379551	3.11983852637767	1.35256667246636	0.813036406968062	0.566967101778194	1.44547504316094	0.576390591674117	4.76142892058391	2.9262080175811	batch1
group19	208	28	line	group19.day28.R32.Ral_208_10	37	8.23327743070962	2.23110929786318	0.675153638310148	0.178726607381662	42.1290322580645	34.652312992049	23.8064516129032	13.3277138695745	2.95013366461956	1.07276228826748	0.616983757740489	0.408609388666659	1.71117974869314	0.530104276134726	4.20693854521955	2.34710556697902	batch1
group19	208	28	line	group19.day28.R32.Ral_208_2	49	6.95600601712304	1.00792165215479	0.693714383800827	0.204272042521833	33.8604651162791	26.569389292898	20.3255813953488	12.4837435819788	2.58027126094518	0.990773510534349	0.568809433228539	0.40176203924189	1.46120123517579	0.394518643274014	3.62886968065881	2.07028413330152	batch1
group19	208	28	line	group19.day28.R32.Ral_208_3	45	8.65184571011637	2.67186242098471	0.753299655258552	0.181635125595374	54.7179487179487	45.6508192801035	24.3846153846154	14.0836138166897	3.07188459879883	1.39535140379908	0.901324045899666	0.743980600451917	1.31898593185275	0.390416197390148	5.02230801977068	3.70782875560677	batch1
group19	208	28	line	group19.day28.R32.Ral_208_4	47	9.31824972108995	2.78102208970682	0.749914413263379	0.141650470456622	64.0731707317073	78.2321513969488	29.5365853658537	26.151575058661	3.82681187978207	2.99841355087051	1.12229361778372	1.64240408039266	1.58936125171191	0.499814016850465	5.80800234662749	6.09724973309782	batch1
group19	208	28	line	group19.day28.R32.Ral_208_5	48	7.94900673166107	1.94144788536505	0.725783510287478	0.114658872911596	45.2380952380952	54.7093470962506	22.8809523809524	18.6863748209463	2.80457336032528	1.15432747069158	0.674355677579313	0.506523990474606	1.51873643515679	0.50209292552186	4.20516682067109	2.89829618739373	batch1
group19	208	28	line	group19.day28.R32.Ral_208_6	34	8.35004068499843	2.37361884237745	0.768538569626152	0.106927989052269	60	77.6134772565426	26.3928571428571	28.6037284357001	3.10173512594769	2.13660677754311	0.669619765899695	0.519053105941417	1.57127196780245	0.409636924188749	5.2157823779182	5.10836555315318	batch1
group19	208	28	line	group19.day28.R32.Ral_208_7	68	9.24285166894409	2.24379780919975	0.728315566059861	0.128582995715478	44.2741935483871	32.7009145883222	23.8548387096774	12.2606217238575	3.11573812508495	1.08353500674453	0.746963825415168	0.520944979644045	1.53031471697562	0.520130700171024	4.41794667167128	2.17600759902584	batch1
group19	208	28	line	group19.day28.R32.Ral_208_8	35	8.35477899075774	2.18750166725071	0.71146744933287	0.182467463631955	57.4137931034483	52.433302695206	24.3103448275862	13.0523764893488	3.11227170136411	1.25336940123929	0.747967226111636	0.488454923268493	1.47757138495606	0.477338022038024	4.81546275033781	3.50894464074447	batch1
group19	208	28	line	group19.day28.R32.Ral_208_9	49	8.87977858793227	1.65414422592175	0.741938110069049	0.130162388352597	45.3488372093023	31.2934526249047	24.1395348837209	11.3275504756552	3.06647383384082	1.01947182980155	0.765459066084353	0.513206751962401	1.50531974012329	0.478638842377621	4.43716177145509	2.1339822455453	batch1
group10	21	28	line	group10.day28.R32.Ral_21_1	46	8.02244520548233	1.94212456618087	0.685298904073536	0.213713288954408	49.95	71.3930794606298	24.725	25.3559152052817	2.91956471442843	2.26721097718911	0.608333147442458	0.404082310937467	1.4918669916877	0.363168414300341	4.40626067641852	4.98697536157169	batch1
group10	21	28	line	group10.day28.R32.Ral_21_10	31	8.56153599885685	3.09394592256906	0.733335823263509	0.143227576622682	65.44	83.4680976980626	28.88	23.6067080861917	3.41271684430572	1.95149755960524	0.834114302128589	0.600513565440411	1.50069741343619	0.382753049955685	5.46199885064318	4.61877191019287	batch1
group10	21	28	line	group10.day28.R32.Ral_21_2	45	7.92109801073396	1.70451208450541	0.714039892329912	0.139488422580408	47.0512820512821	64.9465159382982	23.1794871794872	18.6037231628394	2.85292163165259	1.640934000954	0.613807386385976	0.450429065718477	1.53603665893229	0.447097200925995	4.16215279169512	3.34486715113227	batch1
group10	21	28	line	group10.day28.R32.Ral_21_3	40	10.2040880464609	2.66204485446292	0.769754249714794	0.124198587369338	61.6176470588235	79.0726611399316	27.5294117647059	23.4846633308784	3.51200217366956	2.79750670324204	0.842352314110671	0.580353488012921	1.40456308411635	0.383201268275193	5.57382576533429	5.63290765951373	batch1
group10	21	28	line	group10.day28.R32.Ral_21_4	48	9.29029887986844	2.93804007237932	0.746633570097637	0.176876535205268	42.5238095238095	36.4318529186313	25.3571428571429	13.5930782754858	3.15368638183093	1.22864032171199	0.829921141328951	0.622622353607416	1.5121199450529	0.548970214483415	4.59311695204234	2.4601032614936	batch1
group10	21	28	line	group10.day28.R32.Ral_21_5	32	9.33667505406603	2.42025090034255	0.770610771435597	0.125430797407136	70.2692307692308	67.9273480667736	27.3461538461538	19.2040460480437	3.33297374949421	2.09382775098223	0.837465424787416	0.705076429370722	1.402794556297	0.474387882845843	5.69105946170332	4.97416436712158	batch1
group10	21	28	line	group10.day28.R32.Ral_21_6	49	8.89376084483681	2.31908927788907	0.754497006753038	0.112355779737332	42.4418604651163	44.3118291879275	23.4186046511628	16.5115148249992	3.18592629266646	1.6955625407556	0.763886007001808	0.471122968732169	1.42329025035489	0.500442936320027	4.64622305232186	3.18915931761522	batch1
group10	21	28	line	group10.day28.R32.Ral_21_7	53	8.8847281410111	1.91498369247692	0.701438325397459	0.157243783971792	51.0425531914894	64.3901009968379	21.2765957446809	10.5556540127731	3.08635116527928	1.59563686898988	0.710609828562891	0.557143527761295	1.59535825654	0.449730837982504	4.50846965494114	3.3036570544124	batch1
group10	21	28	line	group10.day28.R32.Ral_21_8	33	8.31722925979099	2.03039727403145	0.755331559667382	0.0954238073133357	57.7407407407407	75.8985114846401	24.6296296296296	22.3385629799993	3.31436721665269	1.82595894084505	0.832623353032334	0.662935309634151	1.59786600744808	0.395591875501504	5.19822533325579	4.25844202714651	batch1
group10	21	28	line	group10.day28.R32.Ral_21_9	34	7.48731945450142	1.33243411288394	0.71348552991583	0.192203828879196	58.5714285714286	81.5000243451127	28.4285714285714	28.7549397642659	3.28341450602727	2.90195905357468	0.654428608288909	0.576250192825384	1.46350983262487	0.45095139792602	4.99918790733835	5.81871909641842	batch1
group3	21	28	line	group3.day28.R32.Ral_21_1	55	8.8720040146799	2.47692115579249	0.762256147937169	0.105493907270241	49.734693877551	58.8107046343762	22.5714285714286	15.9648050410896	3.11977864093398	1.71887071336275	0.749291745280927	0.561723943840029	1.47861334980359	0.377611170526735	4.78490586679254	3.83396038128028	batch1
group3	21	28	line	group3.day28.R32.Ral_21_10	30	8.19968929673803	2.28429405400782	0.766781077053728	0.201185732515794	47.7916666666667	42.4345830730044	23.1666666666667	10.3279555898864	2.92388024334541	0.977405178536296	0.841290110226749	0.547201723035632	1.33208744309068	0.338130816386728	4.53334054891646	2.71333339521618	batch1
