gene	maxT	ngreater	total.permu	pvalue	rank
151	FBgn0000286	4.05625	8081	1000000	0.00808199191800808	151
152	FBgn0032369	4.08711	8117	1000000	0.00811799188200812	152
153	FBgn0017572	3.32784	8158	1000000	0.00815899184100816	153
154	FBgn0034399	3.86713	8251	1000000	0.00825199174800825	154
155	FBgn0037369	3.25314	8309	1000000	0.00830999169000831	155
156	FBgn0032042	3.87759	8330	1000000	0.00833099166900833	156
157	FBgn0050384	3.80369	8386	1000000	0.00838699161300839	157
158	FBgn0038452	3.66712	8397	1000000	0.0083979916020084	158
159	FBgn0025558	3.32784	8499	1000000	0.0084999915000085	159
160	FBgn0040719	3.92824	8526	1000000	0.00852699147300853	160
161	FBgn0032521	4.01974	8590	1000000	0.00859099140900859	161
162	FBgn0017566	3.72819	8594	1000000	0.0085949914050086	162
163	FBgn0036318	4.14987	8597	1000000	0.0085979914020086	163
164	FBgn0053318	3.78001	8736	1000000	0.00873699126300874	164
165	FBgn0032420	4.02448	8933	1000000	0.00893399106600893	165
166	FBgn0031530	4.57246	9039	1000000	0.00903999096000904	166
167	FBgn0001125	3.99453	9086	1000000	0.00908699091300909	167
168	FBgn0000640	3.98953	9111	1000000	0.00911199088800911	168
169	FBgn0031585	4.05904	9212	1000000	0.00921299078700921	169
170	FBgn0037660	3.74034	9283	1000000	0.00928399071600928	170
171	FBgn0003963	4.65228	9372	1000000	0.00937299062700937	171
172	FBgn0034194	4.12179	9515	1000000	0.00951599048400952	172
173	FBgn0050431	3.67073	9521	1000000	0.00952199047800952	173
174	FBgn0030679	3.6541	9602	1000000	0.0096029903970096	174
175	FBgn0034398	3.86713	9649	1000000	0.00964999035000965	175
176	FBgn0037340	3.30224	9829	1000000	0.00982999017000983	176
177	FBgn0033890	3.70859	9977	1000000	0.00997799002200998	177
178	FBgn0058469	2.75367	10202	1000000	0.0102029897970102	178
179	FBgn0031620	4.13695	10261	1000000	0.0102619897380103	179
180	FBgn0020653	3.72819	10401	1000000	0.0104019895980104	180
181	FBgn0266369	3.78001	10576	1000000	0.0105769894230106	181
182	FBgn0032117	3.98953	11642	1000000	0.0116429883570116	182
