genename nsnp obs ngreater nperm prop rank log log.snp
FBgn0037391 39 3.96163 43 10000 0.0043995600439956 73 2.35659075079068 1.5910646070265
FBgn0028841 89 4.2191 43 10000 0.0043995600439956 73 2.35659075079068 1.94939000664491
FBgn0011282 31 3.90741 44 10000 0.0044995500449955 76 2.34683091350152 1.49136169383427
FBgn0265417 28 3.82193 44 10000 0.0044995500449955 76 2.34683091350152 1.44715803134222
FBgn0037569 27 3.91888 45 10000 0.0045995400459954 78 2.33728559559529 1.43136376415899
FBgn0003082 15 3.59495 45 10000 0.0045995400459954 78 2.33728559559529 1.17609125905568
FBgn0010770 67 4.05636 45 10000 0.0045995400459954 78 2.33728559559529 1.82607480270083
FBgn0030596 122 4.14017 45 10000 0.0045995400459954 78 2.33728559559529 2.08635983067475
FBgn0037485 35 4.00482 46 10000 0.0046995300469953 82 2.32794556934115 1.54406804435028
FBgn0022710 739 4.74482 46 10000 0.0046995300469953 82 2.32794556934115 2.86864443839483
FBgn0037492 38 3.90741 47 10000 0.0047995200479952 84 2.31880218990128 1.57978359661681
FBgn0038067 31 3.69314 47 10000 0.0047995200479952 84 2.31880218990128 1.49136169383427
FBgn0260874 35 3.83843 47 10000 0.0047995200479952 84 2.31880218990128 1.54406804435028
FBgn0265793 56 4.04435 48 10000 0.0048995100489951 87 2.30984734724835 1.7481880270062
FBgn0029662 181 4.33695 49 10000 0.004999500049995 88 2.30107342294084 2.25767857486918
FBgn0033101 22 3.83256 49 10000 0.004999500049995 88 2.30107342294084 1.34242268082221
FBgn0263239 517 4.66209 49 10000 0.004999500049995 88 2.30107342294084 2.71349054309394
FBgn0038923 57 4.04033 50 10000 0.0050994900509949 91 2.29247325117893 1.75587485567249
FBgn0261616 37 3.66466 50 10000 0.0050994900509949 91 2.29247325117893 1.56820172406699
FBgn0267070 23 3.58579 50 10000 0.0050994900509949 91 2.29247325117893 1.36172783601759
FBgn0033100 20 3.83256 51 10000 0.0051994800519948 94 2.28404008364206 1.30102999566398
FBgn0034127 57 4.0616 51 10000 0.0051994800519948 94 2.28404008364206 1.75587485567249
FBgn0029990 47 3.92485 52 10000 0.0052994700529947 96 2.27576755767607 1.67209785793572
FBgn0001137 57 3.92316 53 10000 0.0053994600539946 97 2.26764966745389 1.75587485567249
FBgn0039207 195 4.23962 54 10000 0.0054994500549945 98 2.25968073778262 2.29003461136252
FBgn0050363 20 3.7437 54 10000 0.0054994500549945 98 2.25968073778262 1.30102999566398
FBgn0050366 20 3.7437 54 10000 0.0054994500549945 98 2.25968073778262 1.30102999566398
FBgn0265545 55 3.85782 54 10000 0.0054994500549945 98 2.25968073778262 1.74036268949424
FBgn0042207 34 3.69314 55 10000 0.0055994400559944 102 2.25185540027066 1.53147891704226
FBgn0264566 29 3.89106 55 10000 0.0055994400559944 102 2.25185540027066 1.46239799789896
FBgn0000227 100 4.13695 57 10000 0.0057994200579942 104 2.23661543371393 2
FBgn0004175 10 3.42591 57 10000 0.0057994200579942 104 2.23661543371393 1
FBgn0039031 52 3.98372 57 10000 0.0057994200579942 104 2.23661543371393 1.7160033436348
FBgn0051898 73 3.8913 57 10000 0.0057994200579942 104 2.23661543371393 1.86332286012046
FBgn0265147 61 3.96425 57 10000 0.0057994200579942 104 2.23661543371393 1.78532983501077
FBgn0261241 58 4.03307 58 10000 0.0058994100589941 109 2.22919141563472 1.76342799356294
FBgn0262036 81 3.98953 58 10000 0.0058994100589941 109 2.22919141563472 1.90848501887865
FBgn0261283 44 3.83843 59 10000 0.005999400059994 111 2.22189217689322 1.64345267648619
FBgn0030678 41 3.6541 59 10000 0.005999400059994 111 2.22189217689322 1.61278385671974
FBgn0033371 26 3.70404 59 10000 0.005999400059994 111 2.22189217689322 1.41497334797082
FBgn0053318 54 3.78001 60 10000 0.0060993900609939 114 2.2147135922661 1.73239375982297
FBgn0032421 105 4.02448 61 10000 0.0061993800619938 115 2.20765173777861 2.02118929906994
FBgn0034263 31 3.75999 62 10000 0.0062993700629937 116 2.20070287782328 1.49136169383427
FBgn0264442 834 4.66835 62 10000 0.0062993700629937 116 2.20070287782328 2.92116605063774
FBgn0004034 24 3.66085 63 10000 0.0063993600639936 118 2.19386345329298 1.38021124171161
FBgn0039034 65 3.88354 63 10000 0.0063993600639936 118 2.19386345329298 1.81291335664286
FBgn0085223 56 3.87132 63 10000 0.0063993600639936 118 2.19386345329298 1.7481880270062
FBgn0029531 33 3.65205 63 10000 0.0063993600639936 118 2.19386345329298 1.51851393987789
FBgn0263316 87 3.92683 64 10000 0.0064993500649935 122 2.18713007063401 1.93951925261862
FBgn0020306 247 4.21975 64 10000 0.0064993500649935 122 2.18713007063401 2.39269695325967
FBgn0002576 356 4.41706 65 10000 0.0065993400659934 124 2.18049949173499 2.55144999797288
FBgn0003317 25 3.71611 66 10000 0.0066993300669933 125 2.17396862457604 1.39794000867204
FBgn0038924 96 4.04033 66 10000 0.0066993300669933 125 2.17396862457604 1.98227123303957
FBgn0001084 69 3.8913 67 10000 0.0067993200679932 127 2.16753451457063 1.83884909073726
FBgn0266846 23 3.78166 67 10000 0.0067993200679932 127 2.16753451457063 1.36172783601759
FBgn0015664 90 4.0325 68 10000 0.0068993100689931 129 2.16119433653961 1.95424250943932
FBgn0020369 23 3.44168 68 10000 0.0068993100689931 129 2.16119433653961 1.36172783601759
FBgn0041092 2117 4.91859 68 10000 0.0068993100689931 129 2.16119433653961 3.32572085801941
FBgn0266350 1813 4.85999 69 10000 0.006999300069993 132 2.15494538726261 3.25839780409551
FBgn0037388 17 3.54565 70 10000 0.0070992900709929 133 2.14878507855779 1.23044892137827
FBgn0050385 41 3.80369 71 10000 0.0071992800719928 134 2.14271093084559 1.61278385671974
FBgn0027330 112 3.84125 71 10000 0.0071992800719928 134 2.14271093084559 2.04921802267018
FBgn0265761 91 3.88604 72 10000 0.0072992700729927 136 2.13672056715641 1.95904139232109
FBgn0037385 25 3.68523 73 10000 0.0073992600739926 137 2.13081170754589 1.39794000867204
FBgn0032420 134 4.02448 73 10000 0.0073992600739926 137 2.13081170754589 2.12710479836481
FBgn0050431 29 3.67073 74 10000 0.0074992500749925 139 2.12498216388516 1.46239799789896
FBgn0032172 93 4.0325 75 10000 0.0075992400759924 140 2.11922983499607 1.96848294855394
FBgn0014417 57 3.87759 75 10000 0.0075992400759924 140 2.11922983499607 1.75587485567249
FBgn0036032 126 4.08607 76 10000 0.0076992300769923 142 2.11355270210438 2.10037054511756
FBgn0264890 74 3.96207 77 10000 0.0077992200779922 143 2.10794882458638 1.86923171973098
FBgn0017566 68 3.72819 77 10000 0.0077992200779922 143 2.10794882458638 1.83250891270624
FBgn0039251 23 3.72708 78 10000 0.0078992100789921 145 2.10241633598642 1.36172783601759
FBgn0261596 26 3.59979 78 10000 0.0078992100789921 145 2.10241633598642 1.41497334797082
FBgn0037389 21 3.54565 79 10000 0.007999200079992 147 2.09695344028492 1.32221929473392
FBgn0032369 162 4.08711 79 10000 0.007999200079992 147 2.09695344028492 2.20951501454263
FBgn0000286 111 4.05625 80 10000 0.0080991900809919 149 2.09155840839821 2.04532297878666
FBgn0032521 126 4.01974 80 10000 0.0080991900809919 149 2.09155840839821 2.10037054511756
FBgn0026395 88 4.00546 80 10000 0.0080991900809919 149 2.09155840839821 1.94448267215017
FBgn0015790 140 4.05636 82 10000 0.0082991700829917 152 2.08096533490079 2.14612803567824
FBgn0003963 1118 4.65228 83 10000 0.0083991600839916 153 2.07576414121498 3.0484418035504
FBgn0038452 34 3.66712 84 10000 0.0084991500849915 154 2.07062450156257 1.53147891704226
FBgn0051262 187 4.11895 84 10000 0.0084991500849915 154 2.07062450156257 2.2718416065365
FBgn0260718 1 2.839 84 10000 0.0084991500849915 154 2.07062450156257 0
FBgn0034399 64 3.86713 84 10000 0.0084991500849915 154 2.07062450156257 1.80617997398389
FBgn0037369 8 3.25314 85 10000 0.0085991400859914 158 2.0655449760333 0.903089986991944
FBgn0266369 78 3.78001 85 10000 0.0085991400859914 158 2.0655449760333 1.89209460269048
FBgn0000640 120 3.98953 86 10000 0.0086991300869913 160 2.06052417465824 2.07918124604762
FBgn0037660 43 3.74034 86 10000 0.0086991300869913 160 2.06052417465824 1.63346845557959
FBgn0030679 40 3.6541 86 10000 0.0086991300869913 160 2.06052417465824 1.60205999132796
FBgn0032647 83 4.06145 87 10000 0.0087991200879912 163 2.05556075512669 1.91907809237607
FBgn0033890 51 3.70859 87 10000 0.0087991200879912 163 2.05556075512669 1.70757017609794
FBgn0034194 184 4.12179 87 10000 0.0087991200879912 163 2.05556075512669 2.26481782300954
FBgn0031585 147 4.05904 88 10000 0.0088991100889911 166 2.05065342063195 2.16731733474818
FBgn0058469 2 2.75367 88 10000 0.0088991100889911 166 2.05065342063195 0.301029995663981
FBgn0260749 150 4.15001 89 10000 0.008999100089991 168 2.04580091783754 2.17609125905568
FBgn0032117 144 3.98953 89 10000 0.008999100089991 168 2.04580091783754 2.15836249209525
FBgn0020653 60 3.72819 89 10000 0.008999100089991 168 2.04580091783754 1.77815125038364
FBgn0050384 43 3.80369 90 10000 0.0090990900909909 171 2.04100203495577 1.63346845557959
FBgn0017572 8 3.32784 90 10000 0.0090990900909909 171 2.04100203495577 0.903089986991944
FBgn0083938 60 3.93565 91 10000 0.0091990800919908 173 2.03625559993131 1.77815125038364
FBgn0025558 9 3.32784 92 10000 0.0092990700929907 174 2.03156047872293 0.954242509439325
FBgn0036318 172 4.14987 93 10000 0.0093990600939906 175 2.02691557367716 2.23552844690755
FBgn0040719 68 3.92824 95 10000 0.0095990400959904 176 2.01777219423729 1.83250891270624
FBgn0031530 752 4.57246 96 10000 0.0096990300969903 177 2.01327169301062 2.87621784059164
FBgn0001125 145 3.99453 97 10000 0.0097990200979902 178 2.00881735158437 2.16136800223497
FBgn0037340 11 3.30224 98 10000 0.0098990100989901 179 2.00440823267931 1.04139268515823
FBgn0034398 67 3.86713 98 10000 0.0098990100989901 179 2.00440823267931 1.82607480270083
FBgn0031620 185 4.13695 99 10000 0.00999900009999 181 2.00004342727686 2.26717172840301
FBgn0032042 77 3.87759 99 10000 0.00999900009999 181 2.00004342727686 1.88649072517248
FBgn0039244 97 4.02194 100 10000 0.0100989901009899 183 1.99572205349422 1.98677173426624
FBgn0085434 130 3.99858 100 10000 0.0100989901009899 183 1.99572205349422 2.11394335230684
FBgn0033226 31 3.68613 100 10000 0.0100989901009899 183 1.99572205349422 1.49136169383427
FBgn0261609 7 3.11886 102 10000 0.0102989701029897 186 1.98720620257169 0.845098040014257
FBgn0052137 705 4.53078 104 10000 0.0104989501049895 187 1.97885412820692 2.8481891169914
FBgn0266260 64 3.86751 105 10000 0.0105989401059894 188 1.97473756201209 1.80617997398389
FBgn0029501 63 3.76431 106 10000 0.0106989301069893 189 1.97065964959165 1.79934054945358
FBgn0010415 2366 4.81934 107 10000 0.0107989201079892 190 1.96661967178991 3.37401474029191
FBgn0031301 161 4.06217 109 10000 0.010998900109989 191 1.95865074211864 2.20682587603185
FBgn0032965 37 3.67638 111 10000 0.0111988801119888 192 1.95082540460668 1.56820172406699
FBgn0003886 20 3.54254 113 10000 0.0113988601139886 193 1.94313857594039 1.30102999566398
FBgn0050460 472 4.37454 113 10000 0.0113988601139886 193 1.94313857594039 2.67394199863409
FBgn0260719 8 3.21642 114 10000 0.0114988501149885 195 1.93934558692325 0.903089986991944
FBgn0037368 13 3.25314 115 10000 0.0115988401159884 196 1.93558543804994 1.11394335230684
FBgn0040383 84 3.65205 115 10000 0.0115988401159884 196 1.93558543804994 1.92427928606188
FBgn0036889 8 3.18577 116 10000 0.0116988301169883 198 1.9318575655307 0.903089986991944
FBgn0010399 72 3.80109 116 10000 0.0116988301169883 198 1.9318575655307 1.85733249643127
FBgn0037329 20 3.47395 117 10000 0.0117988201179882 200 1.92816141997074 1.30102999566398
FBgn0037657 62 3.75915 117 10000 0.0117988201179882 200 1.92816141997074 1.79239168949825
FBgn0030847 145 4.02707 117 10000 0.0117988201179882 200 1.92816141997074 2.16136800223497
FBgn0037332 57 3.73777 118 10000 0.0118988101189881 203 1.92449646588433 1.75587485567249
FBgn0030298 56 3.78666 119 10000 0.011998800119988 204 1.92086218122924 1.7481880270062
FBgn0034642 105 3.81657 119 10000 0.011998800119988 204 1.92086218122924 2.02118929906994
FBgn0086532 108 3.78707 120 10000 0.0120987901209879 206 1.91725805696041 2.03342375548695
FBgn0266161 16 3.29398 120 10000 0.0120987901209879 206 1.91725805696041 1.20411998265592
FBgn0266635 108 3.78707 120 10000 0.0120987901209879 206 1.91725805696041 2.03342375548695
FBgn0034626 78 3.80083 120 10000 0.0120987901209879 206 1.91725805696041 1.89209460269048
FBgn0260720 106 3.81657 121 10000 0.0121987801219878 210 1.91368359660211 2.02530586526477
FBgn0266902 38 3.69097 121 10000 0.0121987801219878 210 1.91368359660211 1.57978359661681
FBgn0262189 32 3.55664 122 10000 0.0122987701229877 212 1.91013831583746 1.50514997831991
FBgn0262266 11 3.06452 122 10000 0.0122987701229877 212 1.91013831583746 1.04139268515823
FBgn0003326 316 4.24649 122 10000 0.0122987701229877 212 1.91013831583746 2.4996870826184
FBgn0263523 51 3.76111 124 10000 0.0124987501249875 215 1.90313341426881 1.70757017609794
FBgn0266162 11 3.29398 125 10000 0.0125987401259874 216 1.8996728821593 1.04139268515823
FBgn0037370 11 3.23126 126 10000 0.0126987301269873 217 1.89623970632091 1.04139268515823
FBgn0010611 130 4.00488 126 10000 0.0126987301269873 217 1.89623970632091 2.11394335230684
FBgn0264468 12 3.22659 127 10000 0.0127987201279872 219 1.89283345762899 1.07918124604762
FBgn0029866 42 3.54312 127 10000 0.0127987201279872 219 1.89283345762899 1.6232492903979
FBgn0033388 71 3.85474 127 10000 0.0127987201279872 219 1.89283345762899 1.85125834871908
FBgn0037328 25 3.47395 128 10000 0.0128987101289871 222 1.88945371697761 1.39794000867204
FBgn0038451 43 3.66712 128 10000 0.0128987101289871 222 1.88945371697761 1.63346845557959
FBgn0002577 264 4.13029 128 10000 0.0128987101289871 222 1.88945371697761 2.42160392686983
FBgn0034381 114 3.99922 129 10000 0.012998700129987 225 1.88610007497003 2.05690485133647
FBgn0037386 51 3.68523 131 10000 0.0131986801319868 226 1.87946949607101 1.70757017609794
FBgn0040601 177 4.02194 131 10000 0.0131986801319868 226 1.87946949607101 2.24797326636181
FBgn0014342 15 3.28691 131 10000 0.0131986801319868 226 1.87946949607101 1.17609125905568
FBgn0262732 15 3.30617 133 10000 0.0133986601339866 229 1.87293862891206 1.17609125905568
FBgn0266280 15 3.28004 133 10000 0.0133986601339866 229 1.87293862891206 1.17609125905568
FBgn0034588 122 3.96916 133 10000 0.0133986601339866 229 1.87293862891206 2.08635983067475
FBgn0031231 10 3.21155 135 10000 0.0135986401359864 232 1.86650451890665 1
FBgn0031975 270 4.11401 135 10000 0.0135986401359864 232 1.86650451890665 2.43136376415899
FBgn0003257 141 3.97842 136 10000 0.0136986301369863 234 1.86332286012046 2.14921911265538
FBgn0027055 22 3.41805 136 10000 0.0136986301369863 234 1.86332286012046 1.34242268082221
FBgn0001332 339 4.13987 136 10000 0.0136986301369863 234 1.86332286012046 2.53019969820308
FBgn0038855 86 3.78166 137 10000 0.0137986201379862 237 1.86016434087563 1.93449845124357
FBgn0031836 187 4.03463 138 10000 0.0138986101389861 238 1.85702862702277 2.2718416065365
FBgn0264262 29 3.61592 138 10000 0.0138986101389861 238 1.85702862702277 1.46239799789896
FBgn0033225 23 3.46846 139 10000 0.013998600139986 240 1.85391539159862 1.36172783601759
FBgn0037648 22 3.48517 140 10000 0.0140985901409859 241 1.85082431462148 1.34242268082221
FBgn0266024 78 3.77614 140 10000 0.0140985901409859 241 1.85082431462148 1.89209460269048
FBgn0004117 126 3.9324 141 10000 0.0141985801419858 243 1.84775508289381 2.10037054511756
FBgn0263217 33 3.56827 141 10000 0.0141985801419858 243 1.84775508289381 1.51851393987789
